iter	Passed	Remaining
0	56	56714
1	57	28459
2	57	19024
3	57	14314
4	57	11488
5	58	9611
6	58	8260
7	58	7245
8	58	6454
9	58	5824
10	59	5310
11	59	4877
12	59	4511
13	59	4199
14	59	3928
15	60	3690
16	60	3480
17	60	3296
18	60	3129
19	60	2981
20	61	2846
21	61	2723
22	61	2610
23	61	2509
24	62	2418
25	62	2334
26	62	2253
27	62	2178
28	63	2111
29	63	2046
30	63	1987
31	63	1930
32	64	1876
33	64	1825
34	64	1777
35	64	1733
36	64	1690
37	65	1650
38	65	1610
39	65	1574
40	65	1539
41	66	1506
42	66	1473
43	66	1443
44	66	1414
45	66	1386
46	67	1360
47	67	1335
48	67	1311
49	67	1289
50	68	1266
51	68	1245
52	68	1225
53	68	1204
54	68	1184
55	69	1165
56	69	1147
57	69	1130
58	69	1113
59	70	1098
60	70	1083
61	70	1068
62	70	1054
63	71	1039
64	71	1024
65	71	1011
66	71	997
67	71	985
68	72	972
69	72	960
70	72	949
71	72	937
72	73	927
73	73	916
74	73	906
75	73	896
76	74	887
77	74	877
78	74	868
79	74	859
80	75	851
81	75	841
82	75	831
83	75	823
84	75	815
85	75	807
86	76	800
87	76	793
88	76	786
89	76	778
90	77	770
91	77	763
92	77	756
93	77	749
94	77	742
95	78	736
96	78	729
97	78	723
98	78	717
99	79	711
100	79	705
101	79	699
102	79	694
103	79	688
104	80	683
105	80	678
106	80	673
107	80	668
108	81	662
109	81	657
110	81	652
111	81	648
112	81	643
113	82	638
114	82	634
115	82	629
116	82	624
117	82	620
118	83	615
119	83	611
120	83	607
121	83	602
122	83	598
123	84	594
124	84	590
125	84	586
126	84	582
127	84	578
128	85	575
129	85	571
130	85	567
131	85	563
132	85	560
133	86	556
134	86	553
135	86	549
136	86	546
137	86	543
138	87	540
139	87	537
140	87	534
141	87	530
142	88	527
143	88	525
144	88	522
145	88	519
146	89	516
147	89	514
148	89	511
149	89	509
150	90	506
151	90	504
152	90	501
153	90	498
154	90	496
155	91	493
156	91	490
157	91	488
158	91	485
159	92	483
160	92	480
161	92	477
162	92	474
163	92	472
164	92	470
165	93	467
166	93	465
167	93	462
168	93	460
169	93	458
170	94	455
